Date,Open,High,Low,Close,Adj Close,Volume
2006-04-17,7.864300,7.882500,7.776300,7.840000,7.840000,0
2006-04-24,7.839800,7.864600,7.742700,7.760500,7.760500,0
2006-05-01,7.768100,7.805300,7.733000,7.789800,7.789800,0
2006-05-08,7.790100,7.810100,7.732200,7.743700,7.743700,0
2006-05-15,7.744400,7.852700,7.737600,7.784400,7.784400,0
2006-05-22,7.789100,7.847300,7.782300,7.824000,7.824000,0
2006-05-29,7.819200,7.846150,7.748000,7.769900,7.769900,0
2006-06-05,7.767500,7.839400,7.736000,7.790000,7.790000,0
2006-06-12,7.787100,7.871000,7.773500,7.845800,7.845800,0
2006-06-19,7.847200,7.970900,7.833700,7.916200,7.916200,0
2006-06-26,7.915600,7.961300,7.849000,7.949900,7.949900,0
2006-07-03,7.949900,7.993500,7.920300,7.970800,7.970800,0
2006-07-10,7.970900,8.000800,7.880500,7.902800,7.902800,0
2006-07-17,7.903700,7.977600,7.880500,7.926200,7.926200,0
2006-07-24,7.925900,7.968600,7.860700,7.885300,7.885300,0
2006-07-31,7.881600,7.896000,7.852900,7.883600,7.883600,0
2006-08-07,7.883600,7.977900,7.871800,7.965400,7.965400,0
2006-08-14,7.969200,8.111500,7.962100,8.063501,8.063501,0
2006-08-21,8.063800,8.106000,8.015500,8.044200,8.044200,0
2006-08-28,8.036900,8.138500,8.011800,8.131300,8.131300,0
2006-09-04,8.130600,8.270000,8.115200,8.244300,8.244300,0
2006-09-11,8.244500,8.397900,8.240200,8.263900,8.263900,0
2006-09-18,8.268700,8.391700,8.235800,8.370401,8.370401,0
2006-09-25,8.372300,8.419250,8.199500,8.266600,8.266600,0
2006-10-02,8.267901,8.444000,8.258000,8.407500,8.407500,0
2006-10-09,8.408900,8.471700,8.347300,8.439600,8.439600,0
2006-10-16,8.437300,8.493300,8.388500,8.430000,8.430000,0
2006-10-23,8.431800,8.437000,8.279500,8.331300,8.331300,0
2006-10-30,8.323200,8.365501,8.226650,8.237100,8.237100,0
2006-11-06,8.234100,8.272600,8.182201,8.189600,8.189600,0
2006-11-13,8.186401,8.278900,8.171500,8.268100,8.268100,0
2006-11-20,8.268100,8.286800,8.223600,8.280900,8.280900,0
2006-11-27,8.277000,8.306900,8.143200,8.156901,8.156901,0
2006-12-04,8.156600,8.282200,8.085500,8.129600,8.129600,0
2006-12-11,8.126500,8.188300,8.111800,8.144400,8.144400,0
2006-12-18,8.145400,8.206900,8.128500,8.190800,8.190800,0
2006-12-25,8.189000,8.269400,8.161000,8.221501,8.221501,0
2007-01-01,8.227300,8.298300,8.180500,8.269200,8.269200,0
2007-01-08,8.265700,8.369800,8.231600,8.324300,8.324300,0
2007-01-15,8.325100,8.385900,8.298500,8.349900,8.349900,0
2007-01-22,8.350400,8.383500,8.169100,8.182000,8.182000,0
2007-01-29,8.181600,8.182300,8.101000,8.118100,8.118100,0
2007-02-05,8.119400,8.143200,8.077000,8.126701,8.126701,0
2007-02-12,8.128200,8.146300,8.018000,8.036300,8.036300,0
2007-02-19,8.036900,8.128500,8.027701,8.060400,8.060400,0
2007-02-26,8.061900,8.251600,8.039500,8.121200,8.121200,0
2007-03-05,8.121801,8.206200,8.077000,8.085200,8.085200,0
2007-03-12,8.088400,8.149050,8.078200,8.147000,8.147000,0
2007-03-19,8.147200,8.203700,8.105800,8.110000,8.110000,0
2007-03-26,8.110300,8.142500,8.088000,8.120700,8.120700,0
2007-04-02,8.120000,8.185800,8.115800,8.154400,8.154400,0
2007-04-09,8.144900,8.164200,8.075000,8.098300,8.098300,0
2007-04-16,8.102600,8.123500,8.063800,8.097500,8.097500,0
2007-04-23,8.100100,8.175201,8.090000,8.127900,8.127900,0
2007-04-30,8.126800,8.135800,8.102800,8.117700,8.117700,0
2007-05-07,8.118500,8.185701,8.106700,8.166800,8.166800,0
2007-05-14,8.167200,8.201000,8.152001,8.164900,8.164900,0
2007-05-21,8.160900,8.176400,8.073000,8.096400,8.096400,0
2007-05-28,8.088801,8.152800,8.083800,8.096300,8.096300,0
2007-06-04,8.095400,8.114400,8.053300,8.104600,8.104600,0
2007-06-11,8.104000,8.134200,8.061401,8.067900,8.067900,0
2007-06-18,8.068500,8.084800,7.962000,7.975300,7.975300,0
2007-06-25,7.975300,8.045300,7.933800,7.981700,7.981700,0
2007-07-02,7.977900,7.988200,7.886000,7.909600,7.909600,0
2007-07-09,7.909700,7.976700,7.889800,7.911200,7.911200,0
2007-07-16,7.909100,7.927400,7.874700,7.915600,7.915600,0
2007-07-23,7.913900,8.040700,7.897200,8.018000,8.018000,0
2007-07-30,8.018200,8.038300,7.917600,7.963900,7.963900,0
2007-08-06,7.962600,7.999000,7.928600,7.980100,7.980100,0
2007-08-13,7.976000,8.069900,7.931400,8.005200,8.005200,0
2007-08-20,8.005200,8.026000,7.938000,7.950100,7.950100,0
2007-08-27,7.949000,7.976400,7.924000,7.937000,7.937000,0
2007-09-03,7.936600,7.951200,7.876200,7.912000,7.912000,0
2007-09-10,7.852700,7.864400,7.791400,7.814900,7.814900,0
2007-09-17,7.814900,7.829500,7.762300,7.785900,7.785900,0
2007-09-24,7.787100,7.807300,7.674000,7.679100,7.679100,0
2007-10-01,7.681200,7.712900,7.622000,7.650100,7.650100,0
2007-10-08,7.651000,7.718800,7.622400,7.680400,7.680400,0
2007-10-15,7.681000,7.697000,7.635200,7.670200,7.670200,0
2007-10-22,7.669900,7.775200,7.654700,7.722100,7.722100,0
2007-10-29,7.721900,7.849500,7.687200,7.817900,7.817900,0
2007-11-05,7.818800,7.829100,7.720000,7.787200,7.787200,0
2007-11-12,7.785600,8.045400,7.779700,8.015801,8.015801,0
2007-11-19,8.016400,8.081500,7.944000,7.996600,7.996600,0
2007-11-26,8.010000,8.137000,7.986000,8.104800,8.104800,0
2007-12-03,8.104800,8.124900,7.994700,8.014800,8.014800,0
2007-12-10,8.015000,8.024901,7.927100,7.968400,7.968400,0
2007-12-17,7.968600,8.055000,7.956300,8.019200,8.019200,0
2007-12-24,8.021200,8.039900,7.941000,7.958800,7.958800,0
2007-12-31,7.958300,7.985300,7.853100,7.868800,7.868800,0
2008-01-07,7.867900,7.907200,7.792000,7.819400,7.819400,0
2008-01-14,7.817900,8.040600,7.812800,7.992600,7.992600,0
2008-01-21,8.050000,8.106900,7.972900,8.054600,8.054600,0
2008-01-28,8.053500,8.092800,8.006000,8.045900,8.045900,0
2008-02-04,8.046800,8.080900,7.998100,8.028600,8.028600,0
2008-02-11,8.029500,8.045500,7.889700,7.891000,7.891000,0
2008-02-18,7.891700,7.915400,7.845300,7.867300,7.867300,0
2008-02-25,7.867400,7.924500,7.839600,7.911800,7.911800,0
2008-03-03,7.911000,7.938900,7.823000,7.921000,7.921000,0
2008-03-10,7.920700,8.027701,7.868400,8.000200,8.000200,0
2008-03-17,8.000100,8.139800,0.052000,8.128400,8.128400,0
2008-03-24,8.127300,8.167000,8.004600,8.055000,8.055000,0
2008-03-31,8.057000,8.104800,7.962000,7.972000,7.972000,0
2008-04-07,7.972900,7.978600,7.855000,7.935200,7.935200,0
2008-04-14,7.935800,7.981800,7.875000,7.957300,7.957300,0
2008-04-21,7.957100,8.028300,7.906000,7.996800,7.996800,0
2008-04-28,7.996700,8.016200,7.893000,7.895000,7.895000,0
2008-05-05,7.896000,7.926400,7.838000,7.857500,7.857500,0
2008-05-12,7.857600,7.891000,7.817000,7.823300,7.823300,0
2008-05-19,7.818000,7.914700,7.776700,7.886700,7.886700,0
2008-05-26,7.884000,7.939000,7.847300,7.894500,7.894500,0
2008-06-02,7.926400,7.986600,7.913900,7.924200,7.924200,0
2008-06-09,7.925200,8.059100,7.914900,8.044300,8.044300,0
2008-06-16,8.044800,8.054200,8.000000,8.034900,8.034900,0
2008-06-23,8.035600,8.037300,7.928700,7.988000,7.988000,0
2008-06-30,7.990500,8.047000,7.955000,7.973000,7.973000,0
2008-07-07,7.975300,8.081500,7.948500,8.057901,8.057901,0
2008-07-14,8.053001,8.080000,8.020800,8.050400,8.050400,0
2008-07-21,8.050500,8.116201,8.038000,8.080500,8.080500,0
2008-07-28,8.080500,8.091300,7.986000,7.999200,7.999200,0
2008-08-04,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-25,7.912600,7.971000,7.894600,7.952600,7.952600,0
2008-09-01,7.952600,8.034001,7.937600,7.994700,7.994700,0
2008-09-08,7.994100,8.200400,6.347000,8.138200,8.138200,0
2008-09-15,8.137200,8.386700,8.135000,8.204100,8.204100,0
2008-09-22,8.207700,8.285100,7.920000,8.266400,8.266400,0
2008-09-29,8.266501,8.371801,8.214200,8.301300,8.301300,0
2008-10-06,8.301900,8.510900,8.295000,8.441100,8.441100,0
2008-10-13,8.443700,8.938500,8.383600,8.817200,8.817200,0
2008-10-20,8.808900,9.315400,8.616000,8.837700,8.837700,0
2008-10-27,8.836600,8.845000,8.506700,8.560100,8.560100,0
2008-11-03,8.560000,8.868700,8.454000,8.748000,8.748000,0
2008-11-10,8.749300,8.930300,8.650000,8.794600,8.794600,0
2008-11-17,8.793800,9.124600,8.742700,8.957800,8.957800,0
2008-11-24,8.957400,9.130200,8.824400,8.847000,8.847000,0
2008-12-01,8.847000,9.244600,8.815500,9.188800,9.188800,0
2008-12-08,9.171000,9.282400,9.080000,9.249100,9.249100,0
2008-12-15,9.248500,9.915100,9.214300,9.755100,9.755100,0
2008-12-22,9.755200,10.144300,9.546000,9.961800,9.961800,0
2008-12-29,9.963100,9.998800,9.545000,9.565100,9.565100,0
2009-01-05,9.562000,9.634600,9.363300,9.417300,9.417300,0
2009-01-12,9.417100,9.581300,9.131600,9.153400,9.153400,0
2009-01-19,9.153300,9.225700,8.915300,8.970200,8.970200,0
2009-01-26,8.969900,8.988200,8.787000,8.839000,8.839000,0
2009-02-02,8.845500,9.063900,8.699900,8.752900,8.752900,0
2009-02-09,8.748100,8.839200,8.618800,8.759100,8.759100,0
2009-02-16,8.757600,8.883600,8.665700,8.719000,8.719000,0
2009-02-23,8.725700,8.968400,8.651000,8.920200,8.920200,0
2009-03-02,8.917500,9.127900,8.863900,8.922700,8.922700,0
2009-03-09,8.922600,9.024500,8.764000,8.819800,8.819800,0
2009-03-16,8.820000,8.914700,8.607900,8.646200,8.646200,0
2009-03-23,8.646800,8.892900,8.539300,8.810900,8.810900,0
2009-03-30,8.811700,9.007600,8.775700,8.818100,8.818100,0
2009-04-06,8.817800,8.924500,8.713000,8.771300,8.771300,0
2009-04-13,8.770700,8.894300,8.707000,8.745700,8.745700,0
2009-04-20,8.741400,8.831800,8.660800,8.679000,8.679000,0
2009-04-27,8.678300,8.848900,8.655000,8.679000,8.679000,0
2009-05-04,8.685100,8.778500,8.609900,8.639600,8.639600,0
2009-05-11,8.639100,8.888400,8.628000,8.809400,8.809400,0
2009-05-18,8.809500,8.925400,8.693300,8.876200,8.876200,0
2009-05-25,8.876000,9.042600,8.782900,8.907600,8.907600,0
2009-06-01,8.905000,9.008300,8.694100,8.959600,8.959600,0
2009-06-08,8.959800,9.020300,8.821600,8.881600,8.881600,0
2009-06-15,8.881400,8.956500,8.846500,8.917900,8.917900,0
2009-06-22,8.917000,9.147200,8.897000,9.077300,9.077300,0
2009-06-29,9.072600,9.114000,8.925000,8.960300,8.960300,0
2009-07-06,8.960300,9.136800,8.947000,9.079300,9.079300,0
2009-07-13,9.079300,9.131700,8.972900,9.013800,9.013800,0
2009-07-20,8.966000,8.973200,8.844000,8.857700,8.857700,0
2009-07-27,8.795800,8.809700,8.713000,8.713600,8.713600,0
2009-08-03,8.667800,8.720000,8.652000,8.675000,8.675000,0
2009-08-10,8.765800,8.818800,8.596000,8.630900,8.630900,0
2009-08-17,8.684700,8.689000,8.526000,8.581700,8.581700,0
2009-08-24,8.577000,8.655000,8.565000,8.617600,8.617600,0
2009-08-31,8.609400,8.684000,8.582000,8.592000,8.592000,0
2009-09-07,8.584400,8.669800,8.573900,8.644300,8.644300,0
2009-09-14,8.630600,8.637000,8.586400,8.632100,8.632100,0
2009-09-21,8.671400,8.679200,8.476000,8.526800,8.526800,0
2009-09-28,8.509400,8.527100,8.432000,8.448200,8.448200,0
2009-10-05,8.392400,8.397400,8.288600,8.303100,8.303100,0
2009-10-12,8.310701,8.393600,8.249100,8.371801,8.371801,0
2009-10-19,8.310900,8.353000,8.297000,8.325000,8.325000,0
2009-10-26,8.333901,8.468700,8.313800,8.433200,8.433200,0
2009-11-02,8.433300,8.555500,7.961000,8.447100,8.447100,0
2009-11-09,8.449600,8.455000,8.331000,8.357400,8.357400,0
2009-11-16,8.360500,8.441600,8.310900,8.418200,8.418200,0
2009-11-23,8.420000,8.565500,8.338500,8.508700,8.508700,0
2009-11-30,8.509000,8.546300,8.393500,8.442600,8.442600,0
2009-12-07,8.441700,8.522900,8.409000,8.436000,8.436000,0
2009-12-14,8.434000,8.496500,8.207000,8.373000,8.373000,0
2009-12-21,8.370700,8.402000,8.296000,8.336600,8.336600,0
2009-12-28,8.336701,8.347500,8.248000,8.279200,8.279200,0
2010-01-04,8.280501,8.284701,8.136000,8.154200,8.154200,0
2010-01-11,8.153000,8.215201,8.124000,8.161500,8.161500,0
2010-01-18,8.161500,8.209500,8.115600,8.197000,8.197000,0
2010-01-25,8.197800,8.257500,8.169100,8.208800,8.208800,0
2010-02-01,8.210400,8.225900,8.124000,8.177900,8.177900,0
2010-02-08,8.180000,8.182000,7.962000,8.052000,8.052000,0
2010-02-15,8.056600,8.114900,7.990900,8.078200,8.078200,0
2010-02-22,8.078000,8.088101,8.002000,8.051000,8.051000,0
2010-03-01,8.051000,8.096300,8.007000,8.029200,8.029200,0
2010-03-08,8.029200,8.062190,7.987000,8.020001,8.020001,0
2010-03-15,8.018200,8.034001,7.936300,7.998400,7.998400,0
2010-03-22,7.997000,8.112900,7.990200,8.100800,8.100800,0
2010-03-29,8.100000,8.109000,7.978000,8.007400,8.007400,0
2010-04-05,8.007200,8.022000,7.928700,7.967400,7.967400,0
2010-04-12,7.967000,8.029600,7.916000,7.963200,7.963200,0
2010-04-19,7.961400,7.998600,7.850000,7.873100,7.873100,0
2010-04-26,7.873200,7.886600,7.810000,7.845000,7.845000,0
2010-05-03,7.844800,8.010000,7.765700,7.927000,7.927000,0
2010-05-10,7.934000,7.949000,7.670000,7.708600,7.708600,0
